text,shares,likes,comments,label
Sample news article content 33. This is synthetic text for training.,3735,3845,285,REAL
Sample news article content 34. This is synthetic text for training.,695,2577,1779,REAL
Sample news article content 35. This is synthetic text for training.,1309,91,1891,FAKE
Sample news article content 36. This is synthetic text for training.,4152,4234,1281,REAL
Sample news article content 37. This is synthetic text for training.,3234,8672,569,FAKE
Sample news article content 38. This is synthetic text for training.,4114,6592,1571,FAKE
Sample news article content 39. This is synthetic text for training.,2311,8128,839,FAKE
Sample news article content 40. This is synthetic text for training.,2841,1075,1964,FAKE
Sample news article content 41. This is synthetic text for training.,4208,2513,1513,FAKE
Sample news article content 42. This is synthetic text for training.,3559,8168,497,REAL
Sample news article content 43. This is synthetic text for training.,3398,6861,1928,REAL
Sample news article content 44. This is synthetic text for training.,541,8990,1917,REAL
Sample news article content 45. This is synthetic text for training.,2694,604,704,REAL
Sample news article content 46. This is synthetic text for training.,4674,2979,1356,REAL
Sample news article content 47. This is synthetic text for training.,1088,7140,561,FAKE
Sample news article content 48. This is synthetic text for training.,3363,7065,1998,REAL
Sample news article content 49. This is synthetic text for training.,24,4916,31,REAL
Sample news article content 50. This is synthetic text for training.,1572,6800,1633,FAKE
Sample news article content 51. This is synthetic text for training.,2958,597,42,REAL
Sample news article content 52. This is synthetic text for training.,4236,9724,1916,FAKE
Sample news article content 53. This is synthetic text for training.,1767,7320,1374,REAL
Sample news article content 54. This is synthetic text for training.,4743,8705,1357,FAKE
Sample news article content 55. This is synthetic text for training.,2235,5622,1845,REAL
Sample news article content 56. This is synthetic text for training.,200,1877,558,REAL
Sample news article content 57. This is synthetic text for training.,3198,1699,269,FAKE
Sample news article content 58. This is synthetic text for training.,256,9221,1967,FAKE
Sample news article content 59. This is synthetic text for training.,3747,5780,1846,FAKE
Sample news article content 60. This is synthetic text for training.,4642,716,1436,FAKE
Sample news article content 61. This is synthetic text for training.,2241,4086,942,FAKE
Sample news article content 62. This is synthetic text for training.,3175,665,1598,FAKE
Sample news article content 63. This is synthetic text for training.,3606,7846,1042,FAKE
Sample news article content 64. This is synthetic text for training.,3336,6611,1370,FAKE
Sample news article content 65. This is synthetic text for training.,4897,1079,1928,REAL
Sample news article content 66. This is synthetic text for training.,413,8419,1636,REAL
Sample news article content 67. This is synthetic text for training.,2014,8340,36,FAKE
Sample news article content 68. This is synthetic text for training.,1381,1069,1642,REAL
Sample news article content 69. This is synthetic text for training.,1098,5263,91,REAL
Sample news article content 70. This is synthetic text for training.,3426,7951,1843,REAL
Sample news article content 71. This is synthetic text for training.,3655,1363,184,REAL
Sample news article content 72. This is synthetic text for training.,909,4508,727,FAKE
Sample news article content 73. This is synthetic text for training.,187,1755,1051,REAL
Sample news article content 74. This is synthetic text for training.,4044,519,1571,FAKE
Sample news article content 75. This is synthetic text for training.,3756,5463,371,REAL
Sample news article content 76. This is synthetic text for training.,2015,7233,831,REAL
Sample news article content 77. This is synthetic text for training.,2092,1102,1553,REAL
Sample news article content 78. This is synthetic text for training.,3644,597,344,FAKE
Sample news article content 79. This is synthetic text for training.,2130,3273,1442,REAL
Sample news article content 80. This is synthetic text for training.,357,5781,1219,FAKE
Sample news article content 81. This is synthetic text for training.,2422,6256,77,REAL
Sample news article content 82. This is synthetic text for training.,4257,7258,166,FAKE
Sample news article content 83. This is synthetic text for training.,4545,8780,1113,REAL
Sample news article content 84. This is synthetic text for training.,1497,6554,263,FAKE
Sample news article content 85. This is synthetic text for training.,2158,9599,1495,FAKE
Sample news article content 86. This is synthetic text for training.,2555,8002,1231,REAL
Sample news article content 87. This is synthetic text for training.,2342,4846,723,FAKE
Sample news article content 88. This is synthetic text for training.,2951,9821,1294,REAL
Sample news article content 89. This is synthetic text for training.,1238,9186,1286,REAL
Sample news article content 90. This is synthetic text for training.,973,4798,1529,REAL
Sample news article content 91. This is synthetic text for training.,4727,6605,1808,REAL
Sample news article content 92. This is synthetic text for training.,3965,2986,511,REAL
Sample news article content 93. This is synthetic text for training.,1050,400,1877,REAL
Sample news article content 94. This is synthetic text for training.,3701,2855,1749,REAL
Sample news article content 95. This is synthetic text for training.,2780,3412,1909,REAL
Sample news article content 96. This is synthetic text for training.,1588,56,575,REAL
Sample news article content 97. This is synthetic text for training.,3878,8022,1547,REAL
Sample news article content 98. This is synthetic text for training.,2368,1875,721,REAL
Sample news article content 99. This is synthetic text for training.,436,4543,1335,FAKE
Sample news article content 100. This is synthetic text for training.,2828,4298,1197,FAKE
Sample news article content 101. This is synthetic text for training.,1556,3768,430,REAL
Sample news article content 102. This is synthetic text for training.,3858,5752,767,REAL
Sample news article content 103. This is synthetic text for training.,1304,4833,462,REAL
Sample news article content 104. This is synthetic text for training.,2384,1353,100,REAL
Sample news article content 105. This is synthetic text for training.,182,4987,1039,REAL
Sample news article content 106. This is synthetic text for training.,1589,6597,1732,REAL
Sample news article content 107. This is synthetic text for training.,1587,4311,1281,REAL
Sample news article content 108. This is synthetic text for training.,659,2934,1919,REAL
Sample news article content 109. This is synthetic text for training.,159,22,243,FAKE
Sample news article content 110. This is synthetic text for training.,3953,1209,1371,REAL
Sample news article content 111. This is synthetic text for training.,1011,8940,1272,FAKE
Sample news article content 112. This is synthetic text for training.,52,804,104,REAL
Sample news article content 113. This is synthetic text for training.,2307,8325,693,REAL
Sample news article content 114. This is synthetic text for training.,1228,4416,1690,FAKE
Sample news article content 115. This is synthetic text for training.,1035,8625,1310,REAL
Sample news article content 116. This is synthetic text for training.,3702,5141,1192,FAKE
Sample news article content 117. This is synthetic text for training.,4045,4968,1443,REAL
Sample news article content 118. This is synthetic text for training.,4945,3671,1070,REAL
Sample news article content 119. This is synthetic text for training.,4449,7292,1066,FAKE
Sample news article content 120. This is synthetic text for training.,1264,7001,1344,REAL
Sample news article content 121. This is synthetic text for training.,1884,2098,817,FAKE
Sample news article content 122. This is synthetic text for training.,1809,8444,220,REAL
Sample news article content 123. This is synthetic text for training.,3167,5061,1536,FAKE
Sample news article content 124. This is synthetic text for training.,3797,9321,1735,FAKE
Sample news article content 125. This is synthetic text for training.,2341,3264,1464,REAL
Sample news article content 126. This is synthetic text for training.,3414,5435,143,REAL
Sample news article content 127. This is synthetic text for training.,817,8493,889,FAKE
Sample news article content 128. This is synthetic text for training.,2437,6691,1051,REAL
Sample news article content 129. This is synthetic text for training.,888,2763,1877,REAL
Sample news article content 130. This is synthetic text for training.,667,4005,1873,REAL
Sample news article content 131. This is synthetic text for training.,4728,3241,789,FAKE
Sample news article content 132. This is synthetic text for training.,2624,3057,552,FAKE
Sample news article content 133. This is synthetic text for training.,4232,550,843,FAKE
Sample news article content 134. This is synthetic text for training.,4523,5574,658,FAKE
Sample news article content 135. This is synthetic text for training.,818,5411,1880,FAKE
Sample news article content 136. This is synthetic text for training.,2188,1587,1713,FAKE
Sample news article content 137. This is synthetic text for training.,1106,5920,1850,FAKE
Sample news article content 138. This is synthetic text for training.,2224,5260,836,FAKE
Sample news article content 139. This is synthetic text for training.,197,4409,1018,FAKE
Sample news article content 140. This is synthetic text for training.,2671,5783,1953,REAL
Sample news article content 141. This is synthetic text for training.,3492,712,1190,FAKE
Sample news article content 142. This is synthetic text for training.,2448,5406,1658,REAL
Sample news article content 143. This is synthetic text for training.,470,7990,1609,REAL
Sample news article content 144. This is synthetic text for training.,1948,7420,750,REAL
Sample news article content 145. This is synthetic text for training.,3899,6843,248,FAKE
Sample news article content 146. This is synthetic text for training.,2010,2433,774,FAKE
Sample news article content 147. This is synthetic text for training.,3800,3301,763,FAKE
Sample news article content 148. This is synthetic text for training.,4118,270,1380,FAKE
Sample news article content 149. This is synthetic text for training.,3796,9986,1134,REAL
Sample news article content 150. This is synthetic text for training.,3988,1079,691,FAKE
Sample news article content 151. This is synthetic text for training.,234,5322,1723,FAKE
Sample news article content 152. This is synthetic text for training.,928,8795,819,FAKE
Sample news article content 153. This is synthetic text for training.,3607,5257,718,FAKE
Sample news article content 154. This is synthetic text for training.,522,7982,233,FAKE
Sample news article content 155. This is synthetic text for training.,3523,9777,23,REAL
Sample news article content 156. This is synthetic text for training.,4526,6214,1049,FAKE
Sample news article content 157. This is synthetic text for training.,4888,5006,1404,REAL
Sample news article content 158. This is synthetic text for training.,1629,3985,1753,FAKE
Sample news article content 159. This is synthetic text for training.,4628,9587,1005,REAL
Sample news article content 160. This is synthetic text for training.,1316,8791,1369,FAKE
Sample news article content 161. This is synthetic text for training.,2857,8705,1401,FAKE
Sample news article content 162. This is synthetic text for training.,1124,5991,521,REAL
Sample news article content 163. This is synthetic text for training.,2587,6227,16,REAL
Sample news article content 164. This is synthetic text for training.,1023,9258,244,REAL
Sample news article content 165. This is synthetic text for training.,1378,7833,717,FAKE
Sample news article content 166. This is synthetic text for training.,3374,2886,769,REAL
Sample news article content 167. This is synthetic text for training.,1519,2653,1647,FAKE
Sample news article content 168. This is synthetic text for training.,226,9280,716,FAKE
Sample news article content 169. This is synthetic text for training.,4968,4864,1562,REAL
Sample news article content 170. This is synthetic text for training.,891,2514,1992,REAL
Sample news article content 171. This is synthetic text for training.,4072,3969,1606,FAKE
Sample news article content 172. This is synthetic text for training.,2257,3284,1711,FAKE
Sample news article content 173. This is synthetic text for training.,2788,7740,1225,REAL
Sample news article content 174. This is synthetic text for training.,396,4566,1271,REAL
Sample news article content 175. This is synthetic text for training.,2078,2196,117,REAL
Sample news article content 176. This is synthetic text for training.,4744,789,8,FAKE
Sample news article content 177. This is synthetic text for training.,4424,3475,597,FAKE
Sample news article content 178. This is synthetic text for training.,3237,9856,22,FAKE
Sample news article content 179. This is synthetic text for training.,3893,1309,1990,FAKE
Sample news article content 180. This is synthetic text for training.,2005,864,239,FAKE
Sample news article content 181. This is synthetic text for training.,2016,5389,1608,FAKE
Sample news article content 182. This is synthetic text for training.,3171,3363,26,REAL
Sample news article content 183. This is synthetic text for training.,2668,8215,983,FAKE
Sample news article content 184. This is synthetic text for training.,1878,3003,1884,FAKE
Sample news article content 185. This is synthetic text for training.,1196,8502,1104,FAKE
Sample news article content 186. This is synthetic text for training.,1772,1231,1619,REAL
Sample news article content 187. This is synthetic text for training.,161,7959,198,FAKE
Sample news article content 188. This is synthetic text for training.,3976,2711,1578,FAKE
Sample news article content 189. This is synthetic text for training.,1751,6581,774,REAL
Sample news article content 190. This is synthetic text for training.,775,7705,91,FAKE
Sample news article content 191. This is synthetic text for training.,939,421,850,FAKE
Sample news article content 192. This is synthetic text for training.,3220,9965,1982,FAKE
Sample news article content 193. This is synthetic text for training.,539,946,1107,FAKE
Sample news article content 194. This is synthetic text for training.,4917,9378,299,FAKE
Sample news article content 195. This is synthetic text for training.,1461,1834,1958,REAL
Sample news article content 196. This is synthetic text for training.,355,1564,295,REAL
Sample news article content 197. This is synthetic text for training.,3604,7332,646,REAL
Sample news article content 198. This is synthetic text for training.,3323,4944,1477,FAKE
Sample news article content 199. This is synthetic text for training.,234,1308,1304,FAKE
Sample news article content 200. This is synthetic text for training.,1548,2986,1000,FAKE
Sample news article content 201. This is synthetic text for training.,2096,386,1082,REAL
Sample news article content 202. This is synthetic text for training.,4213,6131,908,FAKE
Sample news article content 203. This is synthetic text for training.,2101,9353,870,FAKE
Sample news article content 204. This is synthetic text for training.,1673,3258,1365,REAL
Sample news article content 205. This is synthetic text for training.,2100,6121,752,FAKE
Sample news article content 206. This is synthetic text for training.,3657,4811,1488,REAL
Sample news article content 207. This is synthetic text for training.,4653,6574,1903,REAL
Sample news article content 208. This is synthetic text for training.,3596,6697,341,REAL
Sample news article content 209. This is synthetic text for training.,3748,3933,1633,FAKE
Sample news article content 210. This is synthetic text for training.,3173,1439,61,FAKE
Sample news article content 211. This is synthetic text for training.,1815,6169,775,FAKE
Sample news article content 212. This is synthetic text for training.,3841,4480,624,FAKE
Sample news article content 213. This is synthetic text for training.,2005,55,1452,FAKE
Sample news article content 214. This is synthetic text for training.,4493,3324,1681,FAKE
Sample news article content 215. This is synthetic text for training.,674,6777,1751,FAKE
Sample news article content 216. This is synthetic text for training.,386,105,255,REAL
Sample news article content 217. This is synthetic text for training.,2158,3201,827,FAKE
Sample news article content 218. This is synthetic text for training.,2661,669,1013,REAL
Sample news article content 219. This is synthetic text for training.,2064,8934,1851,FAKE
Sample news article content 220. This is synthetic text for training.,3851,966,1897,FAKE
Sample news article content 221. This is synthetic text for training.,3253,307,1793,FAKE
Sample news article content 222. This is synthetic text for training.,4979,2138,1729,REAL
Sample news article content 223. This is synthetic text for training.,4636,109,1370,REAL
Sample news article content 224. This is synthetic text for training.,4266,3632,1549,REAL
Sample news article content 225. This is synthetic text for training.,739,6728,1327,REAL
Sample news article content 226. This is synthetic text for training.,1401,5684,614,FAKE
Sample news article content 227. This is synthetic text for training.,3259,6499,244,REAL
Sample news article content 228. This is synthetic text for training.,2277,1915,756,FAKE
Sample news article content 229. This is synthetic text for training.,3904,556,823,FAKE
Sample news article content 230. This is synthetic text for training.,3923,7619,779,REAL
Sample news article content 231. This is synthetic text for training.,4214,104,1759,REAL
Sample news article content 232. This is synthetic text for training.,3227,2047,731,REAL
Sample news article content 233. This is synthetic text for training.,2831,145,1846,REAL
Sample news article content 234. This is synthetic text for training.,3758,873,1435,REAL
Sample news article content 235. This is synthetic text for training.,2512,298,877,REAL
Sample news article content 236. This is synthetic text for training.,2151,3238,1240,REAL
Sample news article content 237. This is synthetic text for training.,3675,8837,515,REAL
Sample news article content 238. This is synthetic text for training.,2745,6382,473,FAKE
Sample news article content 239. This is synthetic text for training.,3866,2511,35,REAL
Sample news article content 240. This is synthetic text for training.,3764,6596,1201,REAL
Sample news article content 241. This is synthetic text for training.,2222,783,1410,FAKE
Sample news article content 242. This is synthetic text for training.,2792,4992,1792,REAL
Sample news article content 243. This is synthetic text for training.,1697,370,1040,FAKE
Sample news article content 244. This is synthetic text for training.,3462,486,1734,FAKE
Sample news article content 245. This is synthetic text for training.,4063,7378,829,REAL
Sample news article content 246. This is synthetic text for training.,1524,3196,1071,FAKE
Sample news article content 247. This is synthetic text for training.,4760,9552,1085,FAKE
Sample news article content 248. This is synthetic text for training.,32,4287,1092,FAKE
Sample news article content 249. This is synthetic text for training.,4025,2261,1682,FAKE
Sample news article content 250. This is synthetic text for training.,2566,9148,1894,REAL
Sample news article content 251. This is synthetic text for training.,2803,8572,365,FAKE
Sample news article content 252. This is synthetic text for training.,3896,238,1185,REAL
Sample news article content 253. This is synthetic text for training.,3709,6843,1762,FAKE
Sample news article content 254. This is synthetic text for training.,719,1105,944,FAKE
Sample news article content 255. This is synthetic text for training.,4579,1386,975,FAKE
Sample news article content 256. This is synthetic text for training.,972,9719,1511,FAKE
Sample news article content 257. This is synthetic text for training.,3718,1667,430,REAL
Sample news article content 258. This is synthetic text for training.,4402,2691,858,REAL
Sample news article content 259. This is synthetic text for training.,4552,7756,1512,FAKE
Sample news article content 260. This is synthetic text for training.,2207,1996,229,FAKE
Sample news article content 261. This is synthetic text for training.,4426,1425,369,REAL
Sample news article content 262. This is synthetic text for training.,4320,8023,177,FAKE
Sample news article content 263. This is synthetic text for training.,3030,6849,1880,FAKE
Sample news article content 264. This is synthetic text for training.,3575,3247,1433,FAKE
Sample news article content 265. This is synthetic text for training.,3116,2592,567,REAL
Sample news article content 266. This is synthetic text for training.,3285,1490,1613,REAL
Sample news article content 267. This is synthetic text for training.,643,1224,1293,REAL
Sample news article content 268. This is synthetic text for training.,4711,2587,1229,FAKE
Sample news article content 269. This is synthetic text for training.,194,7714,792,FAKE
Sample news article content 270. This is synthetic text for training.,3996,3064,1763,REAL
Sample news article content 271. This is synthetic text for training.,488,7804,899,REAL
Sample news article content 272. This is synthetic text for training.,2204,832,1774,REAL
Sample news article content 273. This is synthetic text for training.,2657,2440,974,REAL
Sample news article content 274. This is synthetic text for training.,3276,4795,1823,FAKE
Sample news article content 275. This is synthetic text for training.,1102,1646,81,REAL
Sample news article content 276. This is synthetic text for training.,1241,440,845,FAKE
Sample news article content 277. This is synthetic text for training.,515,5956,761,REAL
Sample news article content 278. This is synthetic text for training.,392,9721,1216,FAKE
Sample news article content 279. This is synthetic text for training.,630,2367,617,REAL
Sample news article content 280. This is synthetic text for training.,3716,6696,1212,REAL
Sample news article content 281. This is synthetic text for training.,1847,5190,1299,REAL
Sample news article content 282. This is synthetic text for training.,2655,4663,1097,REAL
Sample news article content 283. This is synthetic text for training.,979,7062,1033,FAKE
Sample news article content 284. This is synthetic text for training.,4529,4331,1658,REAL
Sample news article content 285. This is synthetic text for training.,3402,9496,215,FAKE
Sample news article content 286. This is synthetic text for training.,3871,3034,289,FAKE
Sample news article content 287. This is synthetic text for training.,277,9377,444,FAKE
Sample news article content 288. This is synthetic text for training.,232,3262,922,FAKE
Sample news article content 289. This is synthetic text for training.,1552,2107,551,REAL
Sample news article content 290. This is synthetic text for training.,3270,7036,192,FAKE
Sample news article content 291. This is synthetic text for training.,2409,4320,1662,FAKE
Sample news article content 292. This is synthetic text for training.,3512,5938,288,FAKE
Sample news article content 293. This is synthetic text for training.,25,2747,1987,REAL
Sample news article content 294. This is synthetic text for training.,460,4677,582,REAL
Sample news article content 295. This is synthetic text for training.,3764,7972,1672,REAL
Sample news article content 296. This is synthetic text for training.,3431,4264,1167,REAL
Sample news article content 297. This is synthetic text for training.,3483,3133,1412,FAKE
Sample news article content 298. This is synthetic text for training.,1994,1465,1889,FAKE
Sample news article content 299. This is synthetic text for training.,490,4109,1915,REAL
Sample news article content 300. This is synthetic text for training.,1072,2211,1430,FAKE
Sample news article content 301. This is synthetic text for training.,3173,5539,1834,FAKE
Sample news article content 302. This is synthetic text for training.,215,9735,1393,FAKE
Sample news article content 303. This is synthetic text for training.,1723,1689,856,REAL
Sample news article content 304. This is synthetic text for training.,1592,9763,1464,REAL
Sample news article content 305. This is synthetic text for training.,2606,7727,1970,FAKE
Sample news article content 306. This is synthetic text for training.,158,7764,780,REAL
Sample news article content 307. This is synthetic text for training.,4781,4541,895,REAL
Sample news article content 308. This is synthetic text for training.,3313,3541,919,REAL
Sample news article content 309. This is synthetic text for training.,2841,818,1674,REAL
Sample news article content 310. This is synthetic text for training.,1776,4521,563,REAL
Sample news article content 311. This is synthetic text for training.,2052,1124,1552,FAKE
Sample news article content 312. This is synthetic text for training.,2295,5660,1700,REAL
Sample news article content 313. This is synthetic text for training.,1696,5641,12,FAKE
Sample news article content 314. This is synthetic text for training.,2993,1129,1725,FAKE
Sample news article content 315. This is synthetic text for training.,2469,1702,986,REAL
Sample news article content 316. This is synthetic text for training.,1946,2001,339,FAKE
Sample news article content 317. This is synthetic text for training.,3809,6912,864,FAKE
Sample news article content 318. This is synthetic text for training.,2783,3878,1897,FAKE
Sample news article content 319. This is synthetic text for training.,3644,7232,1887,REAL
Sample news article content 320. This is synthetic text for training.,2500,9998,1799,REAL
Sample news article content 321. This is synthetic text for training.,3645,6331,311,FAKE
Sample news article content 322. This is synthetic text for training.,2645,6035,732,REAL
Sample news article content 323. This is synthetic text for training.,2349,6523,1127,REAL
Sample news article content 324. This is synthetic text for training.,1932,8111,338,REAL
Sample news article content 325. This is synthetic text for training.,3294,8736,1221,REAL
Sample news article content 326. This is synthetic text for training.,1757,2401,299,FAKE
Sample news article content 327. This is synthetic text for training.,1116,9481,1467,FAKE
Sample news article content 328. This is synthetic text for training.,2567,8974,358,REAL
Sample news article content 329. This is synthetic text for training.,3499,539,1391,REAL
Sample news article content 330. This is synthetic text for training.,492,5615,168,FAKE
Sample news article content 331. This is synthetic text for training.,3306,2956,1172,FAKE
Sample news article content 332. This is synthetic text for training.,619,8077,760,REAL
Sample news article content 333. This is synthetic text for training.,3232,3722,767,FAKE
Sample news article content 334. This is synthetic text for training.,3823,5087,981,REAL
Sample news article content 335. This is synthetic text for training.,2380,6460,41,REAL
Sample news article content 336. This is synthetic text for training.,1546,2170,201,FAKE
Sample news article content 337. This is synthetic text for training.,4958,3391,969,FAKE
Sample news article content 338. This is synthetic text for training.,3563,6942,1267,REAL
Sample news article content 339. This is synthetic text for training.,1605,1616,1692,REAL
Sample news article content 340. This is synthetic text for training.,3752,9108,463,FAKE
Sample news article content 341. This is synthetic text for training.,4675,6458,448,REAL
Sample news article content 342. This is synthetic text for training.,1890,2756,912,FAKE
Sample news article content 343. This is synthetic text for training.,1275,6853,797,REAL
Sample news article content 344. This is synthetic text for training.,2743,7709,793,FAKE
Sample news article content 345. This is synthetic text for training.,2493,1936,436,FAKE
Sample news article content 346. This is synthetic text for training.,356,3091,1916,FAKE
Sample news article content 347. This is synthetic text for training.,869,968,1773,REAL
Sample news article content 348. This is synthetic text for training.,885,7297,530,REAL
Sample news article content 349. This is synthetic text for training.,2001,3203,564,FAKE
Sample news article content 350. This is synthetic text for training.,1283,6499,1620,REAL
Sample news article content 351. This is synthetic text for training.,619,5173,1296,FAKE
Sample news article content 352. This is synthetic text for training.,882,889,1453,FAKE
Sample news article content 353. This is synthetic text for training.,796,8984,871,REAL
Sample news article content 354. This is synthetic text for training.,3642,9173,212,REAL
Sample news article content 355. This is synthetic text for training.,3425,7382,948,FAKE
Sample news article content 356. This is synthetic text for training.,1296,3531,1896,REAL
Sample news article content 357. This is synthetic text for training.,4714,801,1127,REAL
Sample news article content 358. This is synthetic text for training.,244,8234,191,FAKE
Sample news article content 359. This is synthetic text for training.,2895,3349,1964,FAKE
Sample news article content 360. This is synthetic text for training.,929,8005,1712,REAL
Sample news article content 361. This is synthetic text for training.,519,9969,1682,FAKE
Sample news article content 362. This is synthetic text for training.,3212,3201,1403,FAKE
Sample news article content 363. This is synthetic text for training.,2409,349,1990,REAL
Sample news article content 364. This is synthetic text for training.,7,9759,1104,FAKE
Sample news article content 365. This is synthetic text for training.,2525,9321,704,FAKE
Sample news article content 366. This is synthetic text for training.,3423,9972,548,REAL
Sample news article content 367. This is synthetic text for training.,2019,583,1400,REAL
Sample news article content 368. This is synthetic text for training.,4590,3377,1861,FAKE
Sample news article content 369. This is synthetic text for training.,4282,6028,153,FAKE
Sample news article content 370. This is synthetic text for training.,3667,7694,1665,REAL
Sample news article content 371. This is synthetic text for training.,3671,6196,570,REAL
Sample news article content 372. This is synthetic text for training.,2801,7083,1759,REAL
Sample news article content 373. This is synthetic text for training.,85,3401,1784,REAL
Sample news article content 374. This is synthetic text for training.,3115,3185,239,FAKE
Sample news article content 375. This is synthetic text for training.,4232,5285,373,REAL
Sample news article content 376. This is synthetic text for training.,2468,9354,1924,REAL
Sample news article content 377. This is synthetic text for training.,3619,6772,804,FAKE
Sample news article content 378. This is synthetic text for training.,1636,8490,798,REAL
Sample news article content 379. This is synthetic text for training.,3583,3347,1227,FAKE
Sample news article content 380. This is synthetic text for training.,4009,788,610,REAL
Sample news article content 381. This is synthetic text for training.,3326,4945,1373,REAL
Sample news article content 382. This is synthetic text for training.,2218,2889,687,REAL
Sample news article content 383. This is synthetic text for training.,2217,9569,773,FAKE
Sample news article content 384. This is synthetic text for training.,4967,5273,1806,FAKE
Sample news article content 385. This is synthetic text for training.,2369,3272,142,REAL
Sample news article content 386. This is synthetic text for training.,3638,9069,1212,FAKE
Sample news article content 387. This is synthetic text for training.,2503,5234,271,FAKE
Sample news article content 388. This is synthetic text for training.,943,9769,1555,FAKE
Sample news article content 389. This is synthetic text for training.,2837,6902,1868,FAKE
Sample news article content 390. This is synthetic text for training.,2660,7612,1323,FAKE
Sample news article content 391. This is synthetic text for training.,2936,2492,425,FAKE
Sample news article content 392. This is synthetic text for training.,4444,6745,45,REAL
Sample news article content 393. This is synthetic text for training.,3947,9574,94,REAL
Sample news article content 394. This is synthetic text for training.,1676,4240,1953,FAKE
Sample news article content 395. This is synthetic text for training.,1196,2322,63,REAL
Sample news article content 396. This is synthetic text for training.,4105,5298,412,REAL
Sample news article content 397. This is synthetic text for training.,2787,1861,1666,REAL
Sample news article content 398. This is synthetic text for training.,1461,6620,1032,REAL
Sample news article content 399. This is synthetic text for training.,3318,4047,458,FAKE
Sample news article content 400. This is synthetic text for training.,666,7581,1738,REAL
Sample news article content 401. This is synthetic text for training.,2176,7320,1432,REAL
Sample news article content 402. This is synthetic text for training.,3743,1098,469,FAKE
Sample news article content 403. This is synthetic text for training.,600,5247,809,FAKE
Sample news article content 404. This is synthetic text for training.,2652,1734,505,REAL
Sample news article content 405. This is synthetic text for training.,4422,4663,1709,REAL
Sample news article content 406. This is synthetic text for training.,3824,5909,1096,REAL
Sample news article content 407. This is synthetic text for training.,3906,3416,83,REAL
Sample news article content 408. This is synthetic text for training.,979,6302,58,REAL
Sample news article content 409. This is synthetic text for training.,2451,7593,1044,REAL
Sample news article content 410. This is synthetic text for training.,628,680,1481,FAKE
Sample news article content 411. This is synthetic text for training.,1629,8163,917,REAL
Sample news article content 412. This is synthetic text for training.,3696,2070,156,REAL
Sample news article content 413. This is synthetic text for training.,3430,6668,1854,FAKE
Sample news article content 414. This is synthetic text for training.,3674,8001,1352,FAKE
Sample news article content 415. This is synthetic text for training.,3929,9921,1596,FAKE
Sample news article content 416. This is synthetic text for training.,2765,2191,575,FAKE
Sample news article content 417. This is synthetic text for training.,4369,8859,836,REAL
Sample news article content 418. This is synthetic text for training.,4780,9804,679,REAL
Sample news article content 419. This is synthetic text for training.,115,7586,202,REAL
Sample news article content 420. This is synthetic text for training.,4956,8872,1664,REAL
Sample news article content 421. This is synthetic text for training.,2003,9164,1780,REAL
Sample news article content 422. This is synthetic text for training.,692,2846,1129,REAL
Sample news article content 423. This is synthetic text for training.,3162,2463,1856,FAKE
Sample news article content 424. This is synthetic text for training.,1105,6837,1145,REAL
Sample news article content 425. This is synthetic text for training.,3008,4922,317,FAKE
